text,tags
"The inoculation of the second dose of the coronavirus vaccine, scheduled to begin on Monday 19 April, has been postponed. Read the full story here {{URL}} via {{USERNAME}} #SriLanka #lka #coronavirus #COVID19 #CovidVaccine #AstraZeneca #COVID19SL #COVID19LK",SriLanka lka coronavirus COVID19 CovidVaccine AstraZeneca COVID19SL COVID19LK
The West Coast currently has the world s worst air quality {{URL}} via {{USERNAME}} #worldnews #news,worldnews news
"I compare the communication in cancer and our scientific communication in the field.If our communication becomes more solid and collaborative as cancer, this would make things easier. So this week on #cancer & #metabolism & #aging by {{USERNAME}} ! {{URL}} ",cancer metabolism aging
President {@Yoweri K Museveni@} :  All teachers to get fully vaccinated or they shall not be allowed to teach.   Communal prayers are suspended for the next 42 days. #M7Address  #Covid19Ug  #Staysafug,M7Address Covid19Ug Staysafug
Dear {@Facebook@} {@Twitter@} can you guys pls get together and create “I’m social distancing/ not going in public type check-in? You know like you did with marking yourself safe? But marking yourself at home- and for a while.-:) Let’s flatten the curve now. #FlattenTheCurve #besafe,FlattenTheCurve besafe
"#DHSundaySpotlight |   We can see the light at the end of the pandemic tunnel, but we have to prepare for the coming challenges, writes Jagdish Rattanani ( {{USERNAME}} ). {{URL}} ",DHSundaySpotlight
#r4today {@Nadhim Zahawi@} So will the second doses of the Pfizer vaccine be available?,r4today
World Mental Health Day - why business leaders are so vulnerable to mental illness in a fast-moving digital economy {{URL}} #GovTech via {{USERNAME}},GovTech
Social distancing is crucial Check this simulations so very well shown {@The Washington Post@} #FightCOVID19 #SpreadTheWordNotTheVirus {{URL}},FightCOVID19 SpreadTheWordNotTheVirus
". {@Rochelle Walensky MD MPH@} {@President Biden@} - I’m questioning the CDC director’s leadership. The new mask guidance is confusing & discriminates against the disabled & children. And to go from “impending doom” to this in 45 days? I’m on your team, Joe, but I have doubts about Walensky. #COVID19",COVID19
"Madeline Grant hits the nail on the head in the {@The Telegraph@} this morning. #VaccinePassports are a slippery slope that could result in more snatching of liberties in the long term.   How quickly this too could become Orwellian, without proper scrutiny.  {{URL}} ",VaccinePassports
COVID denialism in Liverpool - Do we acknowledge? Do we engage?  The problem in the new media era is that it s difficult to impress evidence quality. People believe their YouTube video over  government-controlled Drs & scientists . {@Liverpool Echo@} #COVID19 {{URL}},COVID19
Enter the {{USERNAME}} giveaway for National Breast Cancer Awareness Month. #PreventProtectPrevail #HelpingWomenNow {{URL}},PreventProtectPrevail HelpingWomenNow
"The COVID-19 pandemic is threatening hard-won gains in the fight to #EndTB and setting the world off track for meeting our global UN targets  by 2022. We must continue to provide TB care, treatment, and prevention. #preventionispowerful {{USERNAME}} {{USERNAME}} {@TAG Team@} ",EndTB preventionispowerful
Extensive social distancing usually works best of all . Class journalism by {@The Washington Post@}  #CoronaVirusUpdates {{URL}},CoronaVirusUpdates
Lord Sumption on {@BBC News UK@}  People should go out if they want to & continue to self isolate if they don t  What about all the nurses and key workers risking their lives you selfish prick. Think they can just stay at home do you?! It s too soon. #COVIDIOT,COVIDIOT
The meeting will be the fifth since the lockdown to stop the spread of the coronavirus started on 25 March {@Narendra Modi@} #lockdownextension #lockdown #IndiaFightsCOVID19 {{URL}},lockdownextension lockdown IndiaFightsCOVID19
". {@Liz Claman@} said  wearing a mask is now a choice, if people want to, sure go ahead.  The Biden administration  didn t even know the CDC was going to make this announcement.   #MediaBuzz",MediaBuzz
"Halfway into the ride and remarkably I m now slightly up on schedule ‍♂️  I m doing a 30 mile circuit. Really enjoying the tailwind out but it s quite a headwind on the way back   Never mind, only 4 laps to go   #Training for the #3DaysNC500 in support of {{USERNAME}} ",Training 3DaysNC500
Functional movement disorders are different than #tics and #Tourette Syndrome. Discover the difference on our #MedEd #podcast {@Nationwide Children s Hospital@} . Bonus: We offer free #CME for listeners! {{URL}},tics Tourette MedEd podcast CME
"The total of number of #PrisonCOVIDdeaths in Ohio now at least 127, with {{USERNAME}} today reporting the #COVID19 death of a CO at Ohio State Penitentiary in Youngstown and an incarcerated person at the prison hospital as probable #Coronavirus fatality. {{USERNAME}} {{USERNAME}} ",PrisonCOVIDdeaths COVID19 Coronavirus
