cleaned_text,topic
coming end internationalwomenday fight equality continues equality type day day join trade union tomorrow join fight cwu,Social Concern
military blocked road around u embassy embassy cut internet p feb human right nation special rapporteur tom andrew biden whatishappeninginmyanmar febcoup,Social Concern
kindnesschampion zania stinson kindness yo grew shelter know like hunger put together zfeedsgogobags help people homeless need help thereisgood charlotte observer,Social Concern
askwdsu question weather team drop comment facebook post ill get answered onair throughout day stay safe everyone hurricaneida,Social Concern
thought affected flood stay safe everyone road flooded forget auresearch garry stevens sydney university university conversation,Social Concern
main evildoer behind conspiracy still shield power made u furious delay justice always denied justice still faith left system please emphasize pleading justiceforhirenpatel police gujarat,Social Concern
yuval noah harari lesson year covid year scientific breakthrough political failure learn future time,Social Concern
dear president cyril ramaphosa ramaphosa voteanc south african government african government demand justiceforfikilentshangase land well environment activist protect human right sign petition org,Social Concern
watch sen schumer say trump lied state union address sotu,Social Concern
congratulation biden elected president united state america usauselectionresults,Social Concern
thug manhandled yadav outside jnu full glare medium imagine student inside jnuviolence,Social Concern
heard news internet outage affecting twin city metro proactive alert team centurylinkdown,Social Concern
please sign petition bring back wrongfully terminated fight get back justiceforjasko,Social Concern
bunkerboy moscowmitch kremlinkevin whole fox news enablers maga roach american traitor time pest extermination place healthy functioning democratic american society,Social Concern
expect air travel delay today usa million american winter storm warning avgeek,Social Concern
tahir ul qadri struggle one individual group whole system nothing expected change poor country get justice,Social Concern
post election update nesara new year eve special usa time defend freedom right law constitution justice peace earth save usa,Social Concern
icymi today coast coast ferrall reacts sport shut across america mish dr mitchell roslin join plus hour getonthegrid,Social Concern
shocking saw lot dead body saw neighbor dead body shot five bullet found took body house old man age axummassacre tigraygenocide nation right watch president kamala harris biden act,Social Concern
voting end soon please take time vote namjoon reply reply much bts song separately voting rm bts biggestcrush tdyawards tdy,Social Concern
understand sir starmer leader labourparty remaining quiet greatermanchester burnham quite literally fight life protect northerner labour leader conservative leaning,Social Concern
trump hatred medium inspired anti mask crowd harass chase local new crew denying st amendment opposite principlesfirst group rally minnesota mask mandate state capitol,Social Concern
cbifindajitabh cooperating indian law enforcement cbi finding ajitabh whose life involved like demand mlat procedure case unreasonable delay please help pichai news,Social Concern
herald tallahassee bureau recorded transcribed analyzed gov rondeathsantis said news conference tv interview held since start pandemic narrative changed,Social Concern
blm nothing see next nobel prize black life matter antifa march dc chant burn epoch time,Social Concern
