text,tags
"[SPOTIFY]  #GFRIEND s Only 1 surpassed 1,200,000 streams on the platform. It s the 4th song on the full album to do so! Congratulations to our girls.❤️ {{URL}} {@GFRIEND@} #여자친구",GFRIEND 여자친구
Check out this awesome Spotify playlist for new music & inspiration for your weekend  Massive thank you & S/O to {{USERNAME}} for including our new single #WaitingForRain feat. {{USERNAME}} {{URL}} #SaturdayThoughts #NewMusic #weekendvibes #spotify #NP,WaitingForRain SaturdayThoughts NewMusic weekendvibes spotify NP
FRESH FIND !! >> Discover New Music and Hot Talents!! Give a listen to Diego by Opty {@YouTube@} #hiphop #rap   #new_music Follow Opty: {{URL}} LISTEN HERE {{URL}} via {{USERNAME}} #GrooverEffect,hiphop rap new_music GrooverEffect
permission to dance really has the power to make people happy instantly #ThankYouBTS {@BTS_twt@},ThankYouBTS
[Music] Entanglements: August Alsina ft Rick Ross. {@August Alsina@} {@Yung Rnzl@} #entanglements #entanglement {{URL}},entanglements entanglement
Kudos to the music crew on {@NBC Entertainment@} {{USERNAME}} with some {@Drivin N Cryin@} #aintitstrange,aintitstrange
"Hunter S Thompson s favourite songs. Lou Reed and Bob Dylan in there - I like it that Spirit in the Sky, and White Rabbit are in there too. #HunterSThompson {@Bob Dylan@} {@Lou Reed@} {@Sir Rod Stewart@} {{URL}} ",HunterSThompson
"#NowPlaying ♫ #Np PRINCE - I WOULD DIE 4 U  ♫ at {{URL}} Listen {{URL}} {{URL}} Wake Up {@Notorious VOG@} In The Morning #NITM☕ M-F 6:30-11a, Urban Talk, News, Laughs & More!",NowPlaying Np NITM
"Watch: #Oklahoma musician {{USERNAME}} releases new album  The #Christmas Light,  with the music video for  Home Movies  #HappyHolidays {{URL}} ",Oklahoma Christmas HappyHolidays
" When the jungle was open, I rolled in with the riders Stole food from the bears, and brought it back to the lions Hold court with the apes, I m a gorilla but lighter Got the eye of a tiger, the heart of a fighter   - {@Lil Wayne WEEZY F@} - Tha Mobb #LilWayne #bars #rap",LilWayne bars rap
". {@Drizzy@} & {@Yung Rnzl@}    Lemon Pepper Freestyle  debuts on the UK Spotify Chart at #3 (475,391 Streams).  This is Drake s 185th & Rick Ross  15th entries on the chart.  This is now Rick Ross  highest peaking song on the UK Spotify Chart surpassing  Down Like That ",3
#mclassradio #Nowplaying  2TRU - Riders In The Front(Eng By Ducey_DaPhatom) {{USERNAME}} #newmusic #trendinghits #yycmusic #todaysmusic  Listen Live on: {{URL}},mclassradio Nowplaying newmusic trendinghits yycmusic todaysmusic
"♫ My Top 5 #lastfm artists: Tokio Hotel (31), Harry Styles (21), Bring Me the Horizon (9), Hawthorne Heights (6) & Andrea Bocelli (5) #weeklymusic via {{USERNAME}} ",lastfm weeklymusic
Giveon - Heartbreak Anniversary (Official Music Video) {{URL}} via {@YouTube@} #musicpick,musicpick
Some gigs on the Horizon!   #theQueestreetbrewhouse #  on 28/02/20 with #Ithelusionist and #IronDuke  Free entry that one   #Bloodstockopenair #metal2themasses {{USERNAME}} Hitchin  Metal to the masses first round!   29/03/20  more to come!  #metal #metalessex #bloodstock,theQueestreetbrewhouse Ithelusionist IronDuke Bloodstockopenair metal2themasses metal metalessex bloodstock
A huge shout out to the #phoenixboyschoir for the #nationalanthem at {@Phoenix Raceway@} ! Amazing! Keep up the great work! {@NASCAR@},phoenixboyschoir nationalanthem
New Music - Capitol Cuts {@Black Pumas@} live at the studio: {{URL}} #music,music
I just got a The Good Times And The Bad Ones CD (Signed By Jonah Marais) {@Jonah@} at {{URL}} to support {@Why Don t We@} ! #whydontwemusic ❤️❤️❤️,whydontwemusic
Fire up Fly high high high-er Fire up Fly high high high-er #RebootX1_2020 Hwangholgyeonge ppajin deusi #BraveForX1 Jeongsini ontong neoppunya Uh hanchameul hemaedeon sungan {{USERNAME}} Beonjjeogin You re like thunder My lightsaber Yeah,RebootX1_2020 BraveForX1
Random Tweet but {@Wizkid@} is the artist of the decade and is going to be the artist of the next decade.   #STARBOYFEST  #StarboyFestLagos  #Wizkidfc,STARBOYFEST StarboyFestLagos Wizkidfc
"Spice, Sean Paul, Shaggy - Go Down Deh | Official Music Video {{URL}} via {@YouTube@} #Spice {@Spice@}   {{URL}} ",Spice
UVTraveler {{USERNAME}} - Rooted In The Ground  #kbradiothp #kbindieradio {{URL}},kbradiothp kbindieradio
"#NowPlaying ♫ #Np RICHIE SPICE - BROWN SKIN  ♫ at {{URL}} Listen {{URL}} {{URL}} Wake Up {@Notorious VOG@} In The Morning #NITM☕ M-F 6:30-11a, Urban Talk, News, Laughs & More!",NowPlaying Np NITM
New album is ! But like who broke my baby’s heart tho!  #UnlessimwithYou {@Jackson Wang@},UnlessimwithYou
"#nowplaying The Best Of 2019 The Mixtape (Mixed By FlakesTheMixtapeMogul) (Extended Mix by FlakesTheMixtapeMogul feat: Blueface, Tyga, Chris Brown, Drake, Post Malone, Tory Lanez, Wiley, Lil Baby, DaBaby, City Girls & m via the {@Audiomack@} app {{URL}} {{USERNAME}} ",nowplaying
The power of the piano again on display there as we enjoy High Flavour s {{USERNAME}} X s offering #Monolithic on #BumpInTheHump. Stream and tracklist here: {{URL}},Monolithic BumpInTheHump
felix can you spoil the album a bit?? #StrayKidsComeback {@Stray Kids@},StrayKidsComeback
New music from.the Homie {{USERNAME}} #CountMeOut prod by {{USERNAME}}  Out now on ALL platforms Drop a comment for feedback! SKATERS im.dropping this Sunday for The Slow roll!!! {{URL}},CountMeOut
Ghost (feat. AKIRA*!) (prod. litlikenoah) by Mxrkus ✰ on #SoundCloud {{URL}} NEW SONG PROD ME and {{USERNAME}} OUT NOW!,SoundCloud
"Red Hot {@Red Hot ChiliPeppers@} , Patti Smith and more are set to participate in the #PathwayToParis Earth Day livestream concert. See the full lineup below! {{URL}} ",PathwayToParis
Y all i really want the album so bad  God give me the album please Hope a kind people give it to me hiks: ) {@TOMORROW X TOGETHER@} {@TXT OFFICIAL@} #TOMORROW_X_TOGETHER #투모로우바이투게더 #TXT_MAGIC,TOMORROW_X_TOGETHER 투모로우바이투게더 TXT_MAGIC
{{URL}} do me a solid and pre-save on spotify and apple music by checking out this teaser clip.  Release 8/27/21 #indie #supportmetal #rtItBot {{USERNAME}},indie supportmetal rtItBot
On The Ground - Full Cam SBS Inkigayo 28.03     {{URL}} — #로제 #ROSÉ {@BLACKPINKOFFICIAL@},로제 ROSÉ
Come back to the Lord now. Don’t wait till it’s too late!  EDWARD ON IWANTASAP FEELS  #EdwardBarber {@Edward Barber@},EdwardBarber
"Cause ah, ah, I m in the stars tonight So watch me bring the fire and set the night alight {@BTS_twt@} #BTS1onHot100 #ShiningthroughHOT100 #LifeisDynamite",BTS1onHot100 ShiningthroughHOT100 LifeisDynamite
“pure. poetic. utmost passionate. never dying. tangible. forever young. selfish. you. desire. then it all just stopped. i’d never thought we’d come to this.”  #GoneMVRelease {@BLACKPINKOFFICIAL@},GoneMVRelease
FRESH FIND !! >> Discover New Music and Hot Talents!! Give a listen to Tic-Toc by Mo Mint {@Spotify@} #hiphop #rap #folk   #new_music {{USERNAME}} #GrooverEffect Follow Mo Mint: {{URL}} LISTEN HERE {{URL}},hiphop rap folk new_music GrooverEffect
[06:24] Purple Disco Machine / Sophie & The Giants - Hypnotized #nowplaying {{USERNAME}} {{URL}},nowplaying
#YourFavoriteTexasPromoter #BornPaidEnt️️️ NEW MUSIC VIDEO BY MY BROTHER bornpaidzeezy - #untold shot by {{USERNAME}}  #4E #hoodfame #OakCliffAmerica #BornPaidWorldWide #DallasWallStreet #ripfresh #bp5l… {{URL}},YourFavoriteTexasPromoter BornPaidEnt untold 4E hoodfame OakCliffAmerica BornPaidWorldWide DallasWallStreet ripfresh bp5l
spotify ww  #30 baila conmigo (+1) *2 meses*  OUT: dancing with the devil *2 dias* {{USERNAME}} {{USERNAME}} {{USERNAME}},30
"#NowPlaying on {{USERNAME}} : All I Do Is Win (feat. Snoop Dogg, T-Pain, Ludacris & Rick Ross) by DJ Khaled",NowPlaying
". {@Don McLean@} ... & if she asks u why, u can tell u that I told u, I m tired of castles in the air, I ve got a dream I want the world to share & castle walls just lead me to despair I remember talking about your #Tapestry album & everyone thing I was talking about {@Carole King@}  s",Tapestry
#ListenNow to the Beautiful #Ambient Sounds from the  UnCharted Worldz of RaZaa   Music for Dream s & Wishing Well s #NowStreaming on all Platforms {{URL}} #Listen #Follow #Like & #Share Music by {{USERNAME}} #LGTWO #HunterFoxzAC  #Germany #Chile #UK #USA,ListenNow Ambient NowStreaming Listen Follow Like Share LGTWO HunterFoxzAC Germany Chile UK USA
"Imagine this They didn t put the Yeosang s part in the preview s album and on the 8th when we listen to the album, we will be surprised because he finally get lines. I am crying   | #ATEEZ #ATEEZisComing #ATEEZCOMEBACK #에이티즈 #All_To_Action {@ATEEZ@} |",ATEEZ ATEEZisComing ATEEZCOMEBACK 에이티즈 All_To_Action
"MINIEEEEEEEE ❣ You re so lively and lovely today. Stay safe both of you, with Jin Hyung. :)) #JIMIN #JIMINIE #JIN #BTS #StaySafe {@BTS_twt@} ",JIMIN JIMINIE JIN BTS StaySafe
[00:44] Purple Disco Machine / Sophie & The Giants - Hypnotized #nowplaying {{USERNAME}} {{URL}},nowplaying
"“Dance The Decade Away”   New Years MasterMix on {{USERNAME}} . 2019 was good and why not end it the way I started it, {{USERNAME}} Being on Radio. #DjExeqOnWbls . Listen him LIVE TONIGHT 9-10pm . . Thank You ALL… {{URL}} ",DjExeqOnWbls
"#NowPlaying ♫ #Np {@TRAVIS SCOTT@} F/ {@Drizzy@} - SICKO MODE  ♫ at {{URL}} Listen LIVE {{URL}} {{URL}} Wake Up To {@Notorious VOG@} In The Morning #NITM☕ M-F 6:30-11a, {{USERNAME}} Urban Talk, News, Laughs & More!",NowPlaying Np NITM
So excited for what s coming up next  GRATEFUL TO HANBIN {@shxx131bi131@} #DearBI  #비아이와_아이디의_첫번째_봄 {{URL}},DearBI 비아이와_아이디의_첫번째_봄
#NowPlaying  Pt. 2  by Kanye West on {@TIDAL@} {{URL}} #SundayService,NowPlaying SundayService
why does outro: cross the line sounds so ✨ fancy ✨ THE ALBUM PREVIEW IS OUT NOW #BorderDayOne_Medley {@ENHYPEN@},BorderDayOne_Medley
Apple Music UK:  #1 “What’s Next” - {@Drizzy@} (=) *1 day at #1* #2 “Lemon Pepper Freestyle” - {@Drizzy@} ft. {@Yung Rnzl@} (=)  #3 “Wants and Needs” - {@Drizzy@} ft. {@Lil Baby@} (=) *Peak #2* {{URL}},1 1 2 3 2
2hours 49mins more #BlackLoveVirtualConcert  just visit {{URL}} or download the App at playtore or IOS and enjoy the concert by {@Sarkodie@},BlackLoveVirtualConcert
Watch A Brand  New Music Video️ #Chunga by {{USERNAME}} IS OUT NOW Short and Directed By {{USERNAME}} Produce by {{USERNAME}} Cc Meneja {{USERNAME}} {{URL}},Chunga
"#BestOfTwitter #NowPlaying DJ KHALED by Dj khaled, Rick Ross, Future, Cardi B, Nicki Minaj, Drake, Chris Brown feat: djkhaled,chris brown,liltjay,cardi b,pop smoke,rick ross,jay z,roddy ricch,travisscott,migos,lil bab via the {@Audiomack@} app {{URL}} {{USERNAME}} ",BestOfTwitter NowPlaying
